date,championship,series_id,map_number,hawk_match_id,team1,team2,team1_heroes,team2_heroes,winner,delta,delta_favored_team,team1_odds,team2_odds,odds_provider,odds_timestamp
2025-10-26,European Pro League 31,86406,1,182527,Pipsqueak+4,20Twice,Bane|Tusk|Mars|Leshrac|Viper,Hoodwink|Pangolier|Pugna|Faceless Void|Queen of Pain,20Twice,1.78,Pipsqueak+4,1.18,4.32,ggbet,2025-10-26T18:51:52.000000Z
2025-10-26,European Pro League 31,86406,2,182531,Pipsqueak+4,20Twice,Dazzle|Slark|Mars|Puck|Snapfire,Void Spirit|Pudge|Hoodwink|Sven|Warlock,Pipsqueak+4,-7.39,20Twice,1.24,3.55,ggbet,2025-10-26T19:56:29.000000Z
2025-10-26,European Pro League 31,86406,3,182538,Pipsqueak+4,20Twice,Warlock|Tusk|Mars|Shadow Fiend|Nature's Prophet,Dragon Knight|Chen|Tinker|Snapfire|Axe,Pipsqueak+4,-7.47,20Twice,1.18,4.25,ggbet,2025-10-26T20:56:42.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86385,1,182440,Aurora,Team Yandex,Mars|Shadow Demon|Storm Spirit|Enchantress|Lifestealer,Hoodwink|Axe|Nature's Prophet|Disruptor|Sven,Aurora,5.94,Aurora,1.95,1.85,betboom,2025-10-25T22:50:57.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86385,2,182534,Aurora,Team Yandex,Chen|Troll Warlord|Puck|Hoodwink|Underlord,Night Stalker|Warlock|Nature's Prophet|Slardar|Bounty Hunter,Team Yandex,8.01,Aurora,1.70,2.10,betboom,2025-10-26T20:14:25.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86385,3,182539,Aurora,Team Yandex,Pugna|Hoodwink|Brewmaster|Pangolier|Gyrocopter,Tusk|Beastmaster|Bristleback|Terrorblade|Jakiro,Team Yandex,32.04,Aurora,1.78,2.00,betboom,2025-10-26T21:18:26.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86388,1,182522,Team Cobra,Vici Gaming,Jakiro|Nature's Prophet|Shadow Shaman|Ursa|Night Stalker,Storm Spirit|Centaur Warrunner|Phoenix|Terrorblade|Hoodwink,Vici Gaming,-4.55,Vici Gaming,2.25,1.62,betboom,2025-10-26T17:42:31.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86388,2,182526,Team Cobra,Vici Gaming,Centaur Warrunner|Troll Warlord|Leshrac|Silencer|Hoodwink,Viper|Slardar|Bane|Gyrocopter|Grimstroke,Vici Gaming,14.25,Team Cobra,2.70,1.45,betboom,2025-10-26T18:24:42.000000Z
2025-10-26,European Pro League 31,86413,1,182516,Kalmychata,Team Tea,Ursa|Marci|Leshrac|Disruptor|Dawnbreaker,Windranger|Troll Warlord|Pudge|Pangolier|Warlock,Team Tea,-6.49,Team Tea,2.10,1.66,ggbet,2025-10-26T16:00:58.000000Z
2025-10-26,European Pro League 31,86413,2,182518,Kalmychata,Team Tea,Bristleback|Alchemist|Void Spirit|Bane|Windranger,Sven|Pudge|Puck|Lycan|Warlock,Team Tea,6.50,Kalmychata,2.05,1.70,betboom,2025-10-26T16:58:05.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86387,1,182442,Heroic,Runa Team,Ursa|Warlock|Dark Seer|Hoodwink|Sand King,Weaver|Dark Willow|Naga Siren|Centaur Warrunner|Beastmaster,Heroic,29.51,Heroic,1.35,3.20,betboom,2025-10-25T22:51:07.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86387,2,182513,Heroic,Runa Team,Sand King|Nyx Assassin|Troll Warlord|Hoodwink|Dark Seer,Beastmaster|Puck|Sven|Tusk|Chen,Heroic,27.41,Heroic,1.42,2.80,betboom,2025-10-26T15:48:43.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86384,1,182439,BetBoom Team,PARIVISION,Necrophos|Lion|Juggernaut|Axe|Jakiro,Huskar|Chen|Queen of Pain|Monkey King|Night Stalker,PARIVISION,16.63,BetBoom Team,2.25,1.65,betboom,2025-10-25T22:50:52.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86384,2,182514,BetBoom Team,PARIVISION,Tusk|Marci|Centaur Warrunner|Muerta|Puck,Kez|Chen|Dark Seer|Monkey King|Void Spirit,BetBoom Team,-1.26,PARIVISION,2.19,1.63,ggbet,2025-10-26T15:49:09.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86384,3,182519,BetBoom Team,PARIVISION,Nature's Prophet|Centaur Warrunner|Marci|Tusk|Jakiro,Chen|Mars|Monkey King|Queen of Pain|Storm Spirit,BetBoom Team,-15.38,PARIVISION,2.15,1.68,betboom,2025-10-26T17:05:15.000000Z
2025-10-26,European Pro League 31,86409,1,182503,Most Wanted,L1ga Team,Dazzle|Monkey King|Slardar|Bounty Hunter|Broodmother,Tidehunter|Dragon Knight|Chen|Disruptor|Puck,Most Wanted,-4.07,L1ga Team,1.82,1.89,parimatch,2025-10-26T13:06:38.000000Z
2025-10-26,European Pro League 31,86409,2,182507,Most Wanted,L1ga Team,Monkey King|Pangolier|Jakiro|Windranger|Shadow Demon,Snapfire|Slardar|Huskar|Queen of Pain|Templar Assassin,Most Wanted,-7.11,L1ga Team,1.75,1.98,betboom,2025-10-26T13:52:30.000000Z
2025-10-26,DreamLeague 27 Division 2 Stage 1,86405,1,182490,Team Yandex,1win Team,Hoodwink|Marci|Beastmaster|Ursa|Warlock,Jakiro|Batrider|Abaddon|Axe|Queen of Pain,Team Yandex,-22.49,1win Team,1.35,3.20,betboom,2025-10-26T11:27:56.000000Z
2025-10-26,DreamLeague 27 Division 2 Stage 1,86405,2,182498,Team Yandex,1win Team,Centaur Warrunner|Snapfire|Primal Beast|Terrorblade|Tusk,Nature's Prophet|Disruptor|Hoodwink|Underlord|Gyrocopter,Team Yandex,-10.46,1win Team,1.29,3.40,ggbet,2025-10-26T12:44:17.000000Z
2025-10-26,DreamLeague 27 Division 2 Stage 1,86405,3,182506,Team Yandex,1win Team,Primal Beast|Void Spirit|Tusk|Jakiro|Ursa,Chen|Axe|Dragon Knight|Hoodwink|Puck,Team Yandex,22.68,Team Yandex,1.27,3.51,ggbet,2025-10-26T13:52:07.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86383,1,182438,Team Liquid,Tundra Esports,Dark Willow|Queen of Pain|Centaur Warrunner|Bane|Kez,Disruptor|Invoker|Enigma|Batrider|Marci,Tundra Esports,8.75,Team Liquid,2.80,1.45,betboom,2025-10-25T22:50:42.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86383,2,182495,Team Liquid,Tundra Esports,Bristleback|Underlord|Tusk|Snapfire|Storm Spirit,Gyrocopter|Batrider|Jakiro|Beastmaster|Queen of Pain,Team Liquid,5.73,Team Liquid,2.97,1.40,parimatch,2025-10-26T12:10:52.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86383,3,182502,Team Liquid,Tundra Esports,Gyrocopter|Bane|Venomancer|Pangolier|Snapfire,Bounty Hunter|Timbersaw|Kez|Dragon Knight|Disruptor,Tundra Esports,9.22,Team Liquid,2.45,1.51,ggbet,2025-10-26T13:05:22.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86386,1,182441,Nigma Galaxy,MOUZ,Dragon Knight|Bounty Hunter|Axe|Pugna|Templar Assassin,Clockwerk|Tidehunter|Ember Spirit|Snapfire|Gyrocopter,MOUZ,-4.72,MOUZ,2.35,1.60,betboom,2025-10-25T22:51:02.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86386,2,182492,Nigma Galaxy,MOUZ,Dark Seer|Clockwerk|Muerta|Dragon Knight|Chen,Centaur Warrunner|Void Spirit|Abaddon|Bounty Hunter|Snapfire,Nigma Galaxy,13.05,Nigma Galaxy,2.40,1.55,betboom,2025-10-26T11:38:41.000000Z
2025-10-26,FISSURE PLAYGROUND 2,86386,3,182499,Nigma Galaxy,MOUZ,Muerta|Drow Ranger|Shadow Shaman|Windranger|Timbersaw,Huskar|Dazzle|Pangolier|Queen of Pain|Hoodwink,MOUZ,27.68,Nigma Galaxy,2.20,1.65,betboom,2025-10-26T12:46:03.000000Z
2025-10-26,European Pro League 31,86389,1,182475,Kalmychata,Most Wanted,Dragon Knight|Shadow Fiend|Jakiro|Marci|Dawnbreaker,Ringmaster|Dazzle|Terrorblade|Doom|Pangolier,Kalmychata,-12.28,Most Wanted,1.74,2.02,ggbet,2025-10-26T08:29:29.000000Z
2025-10-26,European Pro League 31,86389,2,182489,Kalmychata,Most Wanted,Dawnbreaker|Bane|Bounty Hunter|Monkey King|Gyrocopter,Batrider|Dragon Knight|Techies|Night Stalker|Puck,Kalmychata,9.57,Kalmychata,1.69,2.04,parimatch,2025-10-26T11:15:40.000000Z
