category,subcategory,role,threshold,total,correct,accuracy,accuracy_pct
final_delta,,,5,67895,35973,0.5298,52.98
final_delta,,,10,45157,24321,0.5386,53.86
final_delta,,,15,27834,15220,0.5468,54.68
final_delta,,,20,15971,8847,0.5539,55.39
final_delta,,,25,8509,4804,0.5646,56.46
final_delta,,,30,4427,2553,0.5767,57.67
final_delta,,,35,2178,1221,0.5606,56.06
final_delta,,,40,1064,591,0.5555,55.55
final_delta,,,45,524,288,0.5496,54.96
final_delta,,,50,266,154,0.5789,57.89
role_advantage,positive,carry,5,18133,9521,0.5251,52.51
role_advantage,positive,carry,8,4301,2342,0.5445,54.45
role_advantage,positive,carry,10,1652,873,0.5285,52.85
role_advantage,negative,carry,5,11700,6208,0.5306,53.06
role_advantage,negative,carry,8,2940,1608,0.5469,54.69
role_advantage,negative,carry,10,1250,685,0.5480,54.80
role_advantage,positive,mid,5,11315,6110,0.5400,54.00
role_advantage,positive,mid,8,1565,831,0.5310,53.10
role_advantage,positive,mid,10,405,203,0.5012,50.12
role_advantage,negative,mid,5,7507,4050,0.5395,53.95
role_advantage,negative,mid,8,1274,722,0.5667,56.67
role_advantage,negative,mid,10,442,255,0.5769,57.69
role_advantage,positive,offlane,5,14250,7455,0.5232,52.32
role_advantage,positive,offlane,8,3194,1702,0.5329,53.29
role_advantage,positive,offlane,10,1197,631,0.5272,52.72
role_advantage,negative,offlane,5,13107,6894,0.5260,52.60
role_advantage,negative,offlane,8,3147,1662,0.5281,52.81
role_advantage,negative,offlane,10,1351,725,0.5366,53.66
role_advantage,positive,softsupport,5,7491,3875,0.5173,51.73
role_advantage,positive,softsupport,8,963,498,0.5171,51.71
role_advantage,positive,softsupport,10,262,143,0.5458,54.58
role_advantage,negative,softsupport,5,5266,2786,0.5291,52.91
role_advantage,negative,softsupport,8,663,343,0.5173,51.73
role_advantage,negative,softsupport,10,234,124,0.5299,52.99
role_advantage,positive,hardsupport,5,7716,4082,0.5290,52.90
role_advantage,positive,hardsupport,8,1383,754,0.5452,54.52
role_advantage,positive,hardsupport,10,666,369,0.5541,55.41
role_advantage,negative,hardsupport,5,6848,3537,0.5165,51.65
role_advantage,negative,hardsupport,8,1290,641,0.4969,49.69
role_advantage,negative,hardsupport,10,575,295,0.5130,51.30
