match_id,match_date,competition,season,home_team,away_team,home_score,away_score,home_combined_delta,away_combined_delta,net_delta,bet_side,predicted_team,success,actual_home_xg,actual_away_xg
69181,2008-01-27,La Liga,2007/2008,Athletic Club,Barcelona,1,1,-0.20164492416952368,0.2022855874139336,-0.4039305115834573,away,Barcelona,False,1.078904505,0.46323404199999996
68361,2008-05-07,La Liga,2007/2008,Real Madrid,Barcelona,4,1,0.2719322651231024,-0.17978751641749247,0.4517197815405949,home,Real Madrid,True,2.464211677,0.9919675050999999
69225,2008-12-13,La Liga,2008/2009,Barcelona,Real Madrid,2,0,0.06420366143260964,0.5189287655190197,-0.45472510408641004,away,Real Madrid,False,2.671286711,0.46858146999999994
69185,2009-03-01,La Liga,2008/2009,Atlético Madrid,Barcelona,4,3,0.07399521682398076,-0.34840931887647897,0.4224045357004597,home,Atlético Madrid,True,2.8137144119999995,2.3008329763
69216,2009-03-07,La Liga,2008/2009,Barcelona,Athletic Club,2,0,0.45931793009167105,-0.12699666872670934,0.5863145988183804,home,Barcelona,True,4.121794036000001,0.767680165
69249,2009-05-02,La Liga,2008/2009,Real Madrid,Barcelona,2,6,0.41088252439846795,-0.002170379236606901,0.41305290363507485,home,Real Madrid,False,0.671995385,2.272996175
69229,2009-09-12,La Liga,2009/2010,Getafe,Barcelona,0,2,-0.2644202909517543,0.34345403512676953,-0.6078743260785238,away,Barcelona,True,0.7051610544,1.9722404172999999
69292,2009-09-19,La Liga,2009/2010,Barcelona,Atlético Madrid,5,2,-0.3348046843246148,0.353748790277947,-0.6885534746025618,away,Atlético Madrid,False,1.4790148429999999,1.2267811915
69262,2009-11-29,La Liga,2009/2010,Barcelona,Real Madrid,1,0,-0.06707241940408087,0.3400267423847863,-0.4070991617888672,away,Real Madrid,False,0.7060562640000001,1.2914700179999998
69240,2010-02-06,La Liga,2009/2010,Barcelona,Getafe,2,1,0.25668409105119305,-0.2209786610150019,0.47766275206619496,home,Barcelona,True,1.622703555,1.7982414402
69237,2010-02-14,La Liga,2009/2010,Atlético Madrid,Barcelona,2,1,0.3675425456795145,-0.24723827340963533,0.6147808190891498,home,Atlético Madrid,True,0.9237893099999999,1.0258514970000001
69227,2010-03-21,La Liga,2009/2010,Real Zaragoza,Barcelona,2,4,0.17600615351968418,-0.23406417492271775,0.41007032844240193,home,Real Zaragoza,False,0.8850877028999999,2.788910399
69269,2010-09-19,La Liga,2010/2011,Atlético Madrid,Barcelona,1,2,0.33100253491340875,-0.12763900374564613,0.4586415386590549,home,Atlético Madrid,False,0.42560873800000004,1.921729607
69263,2010-10-23,La Liga,2010/2011,Real Zaragoza,Barcelona,0,2,0.15288561707414333,-0.3353587146662435,0.48824433174038684,home,Real Zaragoza,False,0.38900234329999994,2.1497437400000003
69306,2010-11-20,La Liga,2010/2011,Almería,Barcelona,0,8,-0.5088389989066806,-0.08715063570827841,-0.4216883631984022,away,Barcelona,True,0.2877235667,3.615712387
