date,championship,series_id,map_number,hawk_match_id,team1,team2,team1_heroes,team2_heroes,winner,delta,delta_favored_team,team1_odds,team2_odds
2024-01-07,BetBoom Dacha Dubai NA SA CQ,53752,1,109109,Heroic,Mad Kings,Troll Warlord|Batrider|Pangolier|Nature's Prophet|Doom,Keeper of the Light|Terrorblade|Legion Commander|Clockwerk|Grimstroke,Heroic,-18.28,Mad Kings,1.63,2.19
2024-01-07,BetBoom Dacha Dubai NA SA CQ,53751,1,109110,BOOM Esports,Los Magicards,Vengeful Spirit|Primal Beast|Juggernaut|Lion|Ember Spirit,Kunkka|Troll Warlord|Phoenix|Magnus|Rubick,BOOM Esports,16.41,BOOM Esports,1.20,4.23
2024-01-07,BetBoom Dacha Dubai NA SA CQ,53750,1,109108,Shopify Rebellion,DuBu,Outworld Destroyer|Weaver|Kunkka|Winter Wyvern|Troll Warlord,Phoenix|Tusk|Lina|Ember Spirit|Lone Druid,Shopify Rebellion,22.67,Shopify Rebellion,1.17,4.64
2024-01-07,BetBoom Dacha Dubai EEU CQ,53771,3,109162,L1ga Team,Chimera Esports,Meepo|Crystal Maiden|Visage|Tusk|Weaver,Elder Titan|Lion|Timbersaw|Huskar|Luna,L1ga Team,-17.41,Chimera Esports,1.53,2.40
2024-01-07,BetBoom Dacha Dubai CN SEA CQ,53765,1,109139,IHC Esports,Talon Esports,Bloodseeker|Dark Willow|Silencer|Mars|Ember Spirit,Beastmaster|Faceless Void|Batrider|Phoenix|Zeus,Talon Esports,18.46,IHC Esports,2.25,1.60
2024-01-07,BetBoom Dacha Dubai CN SEA CQ,53765,3,109158,IHC Esports,Talon Esports,Alchemist|Phoenix|Templar Assassin|Rubick|Tidehunter,Techies|Lina|Beastmaster|Abaddon|Ember Spirit,IHC Esports,25.42,IHC Esports,2.15,1.62
2024-01-07,BetBoom Dacha Dubai EEU CQ,53746,1,109104,Chimera Esports,One Move,Queen of Pain|Dark Willow|Doom|Vengeful Spirit|Windranger,Grimstroke|Batrider|Primal Beast|Lion|Terrorblade,Chimera Esports,15.41,Chimera Esports,2.60,1.46
2024-01-07,BetBoom Dacha Dubai CN SEA CQ,53764,2,109144,Azure Ray,Geek Fam,Lina|Faceless Void|Mars|Lion|Chen,Keeper of the Light|Pangolier|Lifestealer|Broodmother|Weaver,Azure Ray,44.18,Azure Ray,1.38,2.90
2024-01-08,BetBoom Dacha Dubai NA SA CQ,53820,1,109285,BOOM Esports,Bulls,Templar Assassin|Vengeful Spirit|Snapfire|Mars|Gyrocopter,Phoenix|Tusk|Lifestealer|Windranger|Puck,Bulls,-16.06,Bulls,1.36,2.99
2024-01-08,BetBoom Dacha Dubai NA SA CQ,53820,3,109300,BOOM Esports,Bulls,Weaver|Nature's Prophet|Lycan|Keeper of the Light|Lion,Ember Spirit|Earthshaker|Death Prophet|Winter Wyvern|Naga Siren,BOOM Esports,-24.93,Bulls,1.61,2.23
