strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,7893,3632,46,-116307,118284,100,0
Flat100,none,any,10,5285,2380,45,-85468,87242,100,0
Flat100,none,any,15,3286,1472,45,-57018,58314,100,0
Flat100,none,any,20,1852,794,43,-39715,41081,100,0
Flat100,none,any,25,1001,421,42,-22180,23303,100,0
Flat100,none,any,30,530,209,39,-13490,14506,100,0
Flat100,none,any,35,261,113,43,-3932,4972,100,0
Flat100,none,any,40,131,59,45,-731,1904,100,0
Flat100,none,any,45,65,32,49,667,863,100,0
Flat100,none,any,50,41,20,49,843,579,100,0
Flat100,none,underdog,5,3824,1259,33,-71025,72781,100,0
Flat100,none,underdog,10,2594,839,32,-51434,52928,100,0
Flat100,none,underdog,15,1602,500,31,-36920,38071,100,0
Flat100,none,underdog,20,886,255,29,-25361,26456,100,0
Flat100,none,underdog,25,484,142,29,-13142,14142,100,0
Flat100,none,underdog,30,255,73,29,-6819,7854,100,0
Flat100,none,underdog,35,125,40,32,-1535,2850,100,0
Flat100,none,underdog,40,72,26,36,250,1581,100,0
Flat100,none,underdog,45,37,15,41,1007,496,100,0
Flat100,none,underdog,50,26,10,38,879,412,100,0
Flat100,none,favorite,5,3606,2154,60,-38858,40747,100,0
Flat100,none,favorite,10,2387,1406,59,-27835,29434,100,0
Flat100,none,favorite,15,1484,883,60,-15713,17179,100,0
Flat100,none,favorite,20,844,484,57,-11429,12795,100,0
Flat100,none,favorite,25,452,249,55,-7141,8358,100,0
Flat100,none,favorite,30,241,122,51,-4889,5937,100,0
Flat100,none,favorite,35,122,68,56,-932,2008,100,0
Flat100,none,favorite,40,53,32,60,432,848,100,0
Flat100,none,favorite,45,22,16,73,1073,391,100,0
Flat100,none,favorite,50,10,9,90,1277,100,100,0
Flat100,4+4-,any,5,1123,488,43,-20302,21782,100,0
Flat100,4+4-,any,10,998,425,43,-19288,21012,100,0
Flat100,4+4-,any,15,721,308,43,-14429,16052,100,0
Flat100,4+4-,any,20,401,163,41,-9544,10760,100,0
Flat100,4+4-,any,25,186,73,39,-4316,5851,100,0
Flat100,4+4-,any,30,95,30,32,-3359,4544,100,0
Flat100,4+4-,any,35,47,18,38,-486,1658,100,0
Flat100,4+4-,any,40,19,9,47,737,493,100,0
Flat100,4+4-,any,45,7,3,43,805,200,100,0
Flat100,4+4-,any,50,6,3,50,905,100,100,0
Flat100,4+4-,underdog,5,578,173,30,-13661,15189,100,0
Flat100,4+4-,underdog,10,514,154,30,-11965,13983,100,0
Flat100,4+4-,underdog,15,364,108,30,-9126,11120,100,0
Flat100,4+4-,underdog,20,199,53,27,-6056,7681,100,0
Flat100,4+4-,underdog,25,95,26,27,-2266,3754,100,0
Flat100,4+4-,underdog,30,40,8,20,-1132,2329,100,0
Flat100,4+4-,underdog,35,21,5,24,76,991,100,0
Flat100,4+4-,underdog,40,12,4,33,672,495,100,0
Flat100,4+4-,underdog,45,4,1,25,804,200,100,0
Flat100,4+4-,underdog,50,4,1,25,804,200,100,0
Flat100,4+4-,favorite,5,476,284,60,-4527,5862,100,0
Flat100,4+4-,favorite,10,424,246,58,-4991,6296,100,0
Flat100,4+4-,favorite,15,311,182,59,-3062,4466,100,0
Flat100,4+4-,favorite,20,175,97,55,-2214,3416,100,0
Flat100,4+4-,favorite,25,81,42,52,-983,2189,100,0
Flat100,4+4-,favorite,30,50,21,42,-914,1975,100,0
Flat100,4+4-,favorite,35,23,12,52,551,656,100,0
Flat100,4+4-,favorite,40,6,5,83,1165,100,100,0
Flat100,4+4-,favorite,45,2,2,100,1101,0,100,0
Flat100,4+4-,favorite,50,2,2,100,1101,0,100,0
Flat100,5+5-,any,5,151,61,40,-3219,4521,100,0
Flat100,5+5-,any,10,151,61,40,-3219,4521,100,0
Flat100,5+5-,any,15,147,60,41,-3069,4221,100,0
Flat100,5+5-,any,20,130,50,38,-3270,4422,100,0
Flat100,5+5-,any,25,107,38,36,-2988,4068,100,0
Flat100,5+5-,any,30,71,27,38,-1101,2515,100,0
Flat100,5+5-,any,35,41,16,39,-247,1593,100,0
Flat100,5+5-,any,40,24,9,38,353,1093,100,0
Flat100,5+5-,any,45,10,5,50,939,342,100,0
Flat100,5+5-,any,50,6,3,50,883,242,100,0
Flat100,5+5-,underdog,5,77,18,23,-2429,3479,100,0
Flat100,5+5-,underdog,10,77,18,23,-2429,3479,100,0
Flat100,5+5-,underdog,15,75,17,23,-2479,3479,100,0
Flat100,5+5-,underdog,20,67,13,19,-2688,3688,100,0
Flat100,5+5-,underdog,25,56,11,20,-2011,3011,100,0
Flat100,5+5-,underdog,30,38,9,24,-644,1889,100,0
Flat100,5+5-,underdog,35,20,4,20,20,1152,100,0
Flat100,5+5-,underdog,40,13,4,31,720,700,100,0
Flat100,5+5-,underdog,45,7,3,43,981,300,100,0
Flat100,5+5-,underdog,50,3,1,33,925,200,100,0
Flat100,5+5-,favorite,5,66,39,59,262,1032,100,0
Flat100,5+5-,favorite,10,66,39,59,262,1032,100,0
Flat100,5+5-,favorite,15,64,39,61,462,962,100,0
Flat100,5+5-,favorite,20,56,33,59,370,1103,100,0
Flat100,5+5-,favorite,25,45,24,53,62,1309,100,0
Flat100,5+5-,favorite,30,28,16,57,669,790,100,0
Flat100,5+5-,favorite,35,20,12,60,833,426,100,0
Flat100,5+5-,favorite,40,10,5,50,733,362,100,0
Flat100,5+5-,favorite,45,2,2,100,1058,0,100,0
Flat100,5+5-,favorite,50,2,2,100,1058,0,100,0
Flat50,none,any,5,7893,3632,46,-57654,59142,50,0
Flat50,none,any,10,5285,2380,45,-42234,43621,50,0
Flat50,none,any,15,3286,1472,45,-28009,29157,50,0
Flat50,none,any,20,1852,794,43,-19358,20540,50,0
Flat50,none,any,25,1001,421,42,-10590,11652,50,0
Flat50,none,any,30,530,209,39,-6245,7253,50,0
Flat50,none,any,35,261,113,43,-1466,2486,50,0
Flat50,none,any,40,131,59,45,134,952,50,0
Flat50,none,any,45,65,32,49,834,432,50,0
Flat50,none,any,50,41,20,49,922,290,50,0
Flat50,none,underdog,5,3824,1259,33,-35012,36390,50,0
Flat50,none,underdog,10,2594,839,32,-25217,26464,50,0
Flat50,none,underdog,15,1602,500,31,-17960,19036,50,0
Flat50,none,underdog,20,886,255,29,-12180,13228,50,0
Flat50,none,underdog,25,484,142,29,-6071,7071,50,0
Flat50,none,underdog,30,255,73,29,-2910,3927,50,0
Flat50,none,underdog,35,125,40,32,-268,1425,50,0
Flat50,none,underdog,40,72,26,36,625,790,50,0
Flat50,none,underdog,45,37,15,41,1004,248,50,0
Flat50,none,underdog,50,26,10,38,940,206,50,0
Flat50,none,favorite,5,3606,2154,60,-18929,20374,50,0
Flat50,none,favorite,10,2387,1406,59,-13418,14717,50,0
Flat50,none,favorite,15,1484,883,60,-7356,8590,50,0
Flat50,none,favorite,20,844,484,57,-5214,6398,50,0
Flat50,none,favorite,25,452,249,55,-3070,4179,50,0
Flat50,none,favorite,30,241,122,51,-1944,2968,50,0
Flat50,none,favorite,35,122,68,56,34,1004,50,0
Flat50,none,favorite,40,53,32,60,716,424,50,0
Flat50,none,favorite,45,22,16,73,1036,196,50,0
Flat50,none,favorite,50,10,9,90,1138,50,50,0
