strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,7893,22,0,0,1279,100,0
Flat100,none,any,10,5285,22,0,0,1429,100,0
Flat100,none,any,15,3286,28,1,0,1141,100,0
Flat100,none,any,20,1852,19,1,0,1141,100,0
Flat100,none,any,25,1001,13,1,0,1123,100,0
Flat100,none,any,30,530,17,3,0,1016,100,0
Flat100,none,any,35,261,8,3,0,1000,100,0
Flat100,none,any,40,131,32,24,0,1173,100,0
Flat100,none,any,45,65,32,49,667,863,100,0
Flat100,none,any,50,41,20,49,843,579,100,0
Flat100,none,any,75,1,0,0,900,100,100,0
Flat100,none,any,100,0,0,0,1000,0,0,0
Flat100,none,any,125,0,0,0,1000,0,0,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,underdog,5,3824,21,1,0,1123,100,0
Flat100,none,underdog,10,2594,21,1,0,1214,100,0
Flat100,none,underdog,15,1602,13,1,0,1151,100,0
Flat100,none,underdog,20,886,6,1,0,1000,100,0
Flat100,none,underdog,25,484,14,3,0,1000,100,0
Flat100,none,underdog,30,255,10,4,0,1035,100,0
Flat100,none,underdog,35,125,7,6,0,1000,100,0
Flat100,none,underdog,40,72,13,18,0,1000,100,0
Flat100,none,underdog,45,37,15,41,1007,496,100,0
Flat100,none,underdog,50,26,10,38,879,412,100,0
Flat100,none,underdog,75,1,0,0,900,100,100,0
Flat100,none,underdog,100,0,0,0,1000,0,0,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,favorite,5,3606,42,1,0,1206,100,0
Flat100,none,favorite,10,2387,101,4,0,1256,100,0
Flat100,none,favorite,15,1484,60,4,0,1141,100,0
Flat100,none,favorite,20,844,30,4,0,1141,100,0
Flat100,none,favorite,25,452,36,8,0,1123,100,0
Flat100,none,favorite,30,241,14,6,0,1008,100,0
Flat100,none,favorite,35,122,33,27,0,1000,100,0
Flat100,none,favorite,40,53,32,60,432,848,100,0
Flat100,none,favorite,45,22,16,73,1073,391,100,0
Flat100,none,favorite,50,10,9,90,1277,100,100,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,none,favorite,100,0,0,0,1000,0,0,0
Flat100,none,favorite,125,0,0,0,1000,0,0,0
Flat100,none,favorite,150,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,1123,37,3,0,1065,100,0
Flat100,4+4-,any,10,998,68,7,0,1244,100,0
Flat100,4+4-,any,15,721,46,6,0,1286,100,0
Flat100,4+4-,any,20,401,33,8,0,1000,100,0
Flat100,4+4-,any,25,186,26,14,0,1535,100,0
Flat100,4+4-,any,30,95,7,7,0,1185,100,0
Flat100,4+4-,any,35,47,10,21,0,1060,100,0
Flat100,4+4-,any,40,19,9,47,737,493,100,0
Flat100,4+4-,any,45,7,3,43,805,200,100,0
Flat100,4+4-,any,50,6,3,50,905,100,100,0
Flat100,4+4-,any,75,1,0,0,900,100,100,0
Flat100,4+4-,any,100,0,0,0,1000,0,0,0
Flat100,4+4-,any,125,0,0,0,1000,0,0,0
Flat100,4+4-,any,150,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,5,578,17,3,0,1235,100,0
Flat100,4+4-,underdog,10,514,23,4,0,1535,100,0
Flat100,4+4-,underdog,15,364,26,7,0,1521,100,0
Flat100,4+4-,underdog,20,199,14,7,0,1184,100,0
Flat100,4+4-,underdog,25,95,10,11,0,1340,100,0
Flat100,4+4-,underdog,30,40,3,8,0,1124,100,0
Flat100,4+4-,underdog,35,21,5,24,0,1000,100,0
Flat100,4+4-,underdog,40,12,4,33,672,495,100,0
Flat100,4+4-,underdog,45,4,1,25,804,200,100,0
Flat100,4+4-,underdog,50,4,1,25,804,200,100,0
Flat100,4+4-,underdog,75,1,0,0,900,100,100,0
Flat100,4+4-,underdog,100,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,125,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,150,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,5,476,96,20,0,1145,100,0
Flat100,4+4-,favorite,10,424,75,18,0,1145,100,0
Flat100,4+4-,favorite,15,311,55,18,0,1249,100,0
Flat100,4+4-,favorite,20,175,32,18,0,1127,100,0
Flat100,4+4-,favorite,25,81,28,35,0,1206,100,0
Flat100,4+4-,favorite,30,50,15,30,0,1061,100,0
Flat100,4+4-,favorite,35,23,12,52,551,656,100,0
Flat100,4+4-,favorite,40,6,5,83,1165,100,100,0
Flat100,4+4-,favorite,45,2,2,100,1101,0,100,0
Flat100,4+4-,favorite,50,2,2,100,1101,0,100,0
Flat100,4+4-,favorite,75,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,100,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,125,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,150,0,0,0,1000,0,0,0
Flat100,5+5-,any,5,151,10,7,0,1000,100,0
Flat100,5+5-,any,10,151,10,7,0,1000,100,0
Flat100,5+5-,any,15,147,12,8,0,1000,100,0
Flat100,5+5-,any,20,130,18,14,0,1000,100,0
Flat100,5+5-,any,25,107,13,12,0,1000,100,0
Flat100,5+5-,any,30,71,16,23,0,1259,100,0
Flat100,5+5-,any,35,41,14,34,0,1291,100,0
Flat100,5+5-,any,40,24,9,38,353,1093,100,0
Flat100,5+5-,any,45,10,5,50,939,342,100,0
Flat100,5+5-,any,50,6,3,50,883,242,100,0
Flat100,5+5-,any,75,0,0,0,1000,0,0,0
Flat100,5+5-,any,100,0,0,0,1000,0,0,0
Flat100,5+5-,any,125,0,0,0,1000,0,0,0
Flat100,5+5-,any,150,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,5,77,6,8,0,1000,100,0
Flat100,5+5-,underdog,10,77,6,8,0,1000,100,0
Flat100,5+5-,underdog,15,75,7,9,0,1000,100,0
Flat100,5+5-,underdog,20,67,6,9,0,1000,100,0
Flat100,5+5-,underdog,25,56,5,9,0,1000,100,0
Flat100,5+5-,underdog,30,38,8,21,0,1245,100,0
Flat100,5+5-,underdog,35,20,4,20,20,1152,100,0
Flat100,5+5-,underdog,40,13,4,31,720,700,100,0
Flat100,5+5-,underdog,45,7,3,43,981,300,100,0
Flat100,5+5-,underdog,50,3,1,33,925,200,100,0
Flat100,5+5-,underdog,75,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,100,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,125,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,150,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,5,66,29,44,0,1000,100,0
Flat100,5+5-,favorite,10,66,29,44,0,1000,100,0
Flat100,5+5-,favorite,15,64,39,61,462,962,100,0
Flat100,5+5-,favorite,20,56,33,59,277,1103,100,0
Flat100,5+5-,favorite,25,45,13,29,0,1000,100,0
Flat100,5+5-,favorite,30,28,16,57,669,790,100,0
Flat100,5+5-,favorite,35,20,12,60,833,426,100,0
Flat100,5+5-,favorite,40,10,5,50,733,362,100,0
Flat100,5+5-,favorite,45,2,2,100,1058,0,100,0
Flat100,5+5-,favorite,50,2,2,100,1058,0,100,0
Flat100,5+5-,favorite,75,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,100,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,125,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,150,0,0,0,1000,0,0,0
Flat50,none,any,5,7893,63,1,0,1140,50,0
Flat50,none,any,10,5285,58,1,0,1214,50,0
Flat50,none,any,15,3286,38,1,0,1070,50,0
Flat50,none,any,20,1852,24,1,0,1070,50,0
Flat50,none,any,25,1001,41,4,0,1062,50,0
Flat50,none,any,30,530,30,6,0,1008,50,0
Flat50,none,any,35,261,34,13,0,1000,50,0
Flat50,none,any,40,131,59,45,134,952,50,0
Flat50,none,any,45,65,32,49,834,432,50,0
Flat50,none,any,50,41,20,49,922,290,50,0
Flat50,none,any,75,1,0,0,950,50,50,0
Flat50,none,any,100,0,0,0,1000,0,0,0
Flat50,none,any,125,0,0,0,1000,0,0,0
Flat50,none,any,150,0,0,0,1000,0,0,0
Flat50,none,underdog,5,3824,29,1,0,1062,50,0
Flat50,none,underdog,10,2594,24,1,0,1107,50,0
Flat50,none,underdog,15,1602,14,1,0,1076,50,0
Flat50,none,underdog,20,886,19,2,0,1000,50,0
Flat50,none,underdog,25,484,32,7,0,1000,50,0
Flat50,none,underdog,30,255,16,6,0,1018,50,0
Flat50,none,underdog,35,125,19,15,0,1000,50,0
Flat50,none,underdog,40,72,26,36,625,790,50,0
Flat50,none,underdog,45,37,15,41,1004,248,50,0
Flat50,none,underdog,50,26,10,38,940,206,50,0
Flat50,none,underdog,75,1,0,0,950,50,50,0
Flat50,none,underdog,100,0,0,0,1000,0,0,0
Flat50,none,underdog,125,0,0,0,1000,0,0,0
Flat50,none,underdog,150,0,0,0,1000,0,0,0
Flat50,none,favorite,5,3606,322,9,0,1323,50,0
Flat50,none,favorite,10,2387,170,7,0,1128,50,0
Flat50,none,favorite,15,1484,132,9,0,1070,50,0
Flat50,none,favorite,20,844,72,9,0,1070,50,0
Flat50,none,favorite,25,452,77,17,0,1062,50,0
Flat50,none,favorite,30,241,34,14,0,1004,50,0
Flat50,none,favorite,35,122,59,48,0,1000,50,0
Flat50,none,favorite,40,53,32,60,716,424,50,0
Flat50,none,favorite,45,22,16,73,1036,196,50,0
Flat50,none,favorite,50,10,9,90,1138,50,50,0
Flat50,none,favorite,75,0,0,0,1000,0,0,0
Flat50,none,favorite,100,0,0,0,1000,0,0,0
Flat50,none,favorite,125,0,0,0,1000,0,0,0
Flat50,none,favorite,150,0,0,0,1000,0,0,0
Flat50,4+4-,any,5,1123,92,8,0,1032,50,0
Flat50,4+4-,any,10,998,94,9,0,1122,50,0
Flat50,4+4-,any,15,721,71,10,0,1143,50,0
Flat50,4+4-,any,20,401,48,12,0,1000,50,0
Flat50,4+4-,any,25,186,38,20,0,1268,50,0
Flat50,4+4-,any,30,95,14,15,0,1092,50,0
Flat50,4+4-,any,35,47,18,38,257,829,50,0
Flat50,4+4-,any,40,19,9,47,868,246,50,0
Flat50,4+4-,any,45,7,3,43,902,100,50,0
Flat50,4+4-,any,50,6,3,50,952,50,50,0
Flat50,4+4-,any,75,1,0,0,950,50,50,0
Flat50,4+4-,any,100,0,0,0,1000,0,0,0
Flat50,4+4-,any,125,0,0,0,1000,0,0,0
Flat50,4+4-,any,150,0,0,0,1000,0,0,0
Flat50,4+4-,underdog,5,578,46,8,0,1118,50,0
Flat50,4+4-,underdog,10,514,40,8,0,1268,50,0
Flat50,4+4-,underdog,15,364,28,8,0,1260,50,0
Flat50,4+4-,underdog,20,199,16,8,0,1092,50,0
Flat50,4+4-,underdog,25,95,15,16,0,1170,50,0
Flat50,4+4-,underdog,30,40,4,10,0,1062,50,0
Flat50,4+4-,underdog,35,21,5,24,538,496,50,0
Flat50,4+4-,underdog,40,12,4,33,836,248,50,0
Flat50,4+4-,underdog,45,4,1,25,902,100,50,0
Flat50,4+4-,underdog,50,4,1,25,902,100,50,0
Flat50,4+4-,underdog,75,1,0,0,950,50,50,0
Flat50,4+4-,underdog,100,0,0,0,1000,0,0,0
Flat50,4+4-,underdog,125,0,0,0,1000,0,0,0
Flat50,4+4-,underdog,150,0,0,0,1000,0,0,0
Flat50,4+4-,favorite,5,476,153,32,0,1072,50,0
Flat50,4+4-,favorite,10,424,131,31,0,1072,50,0
Flat50,4+4-,favorite,15,311,123,40,0,1124,50,0
Flat50,4+4-,favorite,20,175,58,33,0,1064,50,0
Flat50,4+4-,favorite,25,81,42,52,8,1094,50,0
Flat50,4+4-,favorite,30,50,21,42,43,988,50,0
Flat50,4+4-,favorite,35,23,12,52,776,328,50,0
Flat50,4+4-,favorite,40,6,5,83,1082,50,50,0
Flat50,4+4-,favorite,45,2,2,100,1050,0,50,0
Flat50,4+4-,favorite,50,2,2,100,1050,0,50,0
