strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,9858,5831,59,89240,6177,100,0
Flat100,none,any,10,9242,5508,60,89215,6399,100,0
Flat100,none,any,15,8651,5201,60,91039,5662,100,0
Flat100,none,any,20,8095,4913,61,92935,3560,100,0
Flat100,none,any,25,7584,4637,61,93172,3270,100,0
Flat100,none,any,30,7007,4327,62,93026,2305,100,0
Flat100,none,any,35,6506,4060,62,95077,2126,100,0
Flat100,none,any,40,5972,3751,63,90857,2244,100,0
Flat100,none,any,45,5456,3466,64,90552,1971,100,0
Flat100,none,any,50,4974,3194,64,89190,2156,100,0
Flat100,none,any,75,2944,1987,67,68768,1235,100,0
Flat100,none,any,100,1614,1150,71,48160,1226,100,0
Flat100,none,any,125,802,590,74,29160,863,100,0
Flat100,none,any,150,382,281,74,15123,828,100,0
Flat100,none,underdog,5,4369,1993,46,57962,5772,100,0
Flat100,none,underdog,10,4071,1872,46,57024,5719,100,0
Flat100,none,underdog,15,3770,1749,46,57410,5292,100,0
Flat100,none,underdog,20,3520,1652,47,58023,3899,100,0
Flat100,none,underdog,25,3268,1555,48,59433,3395,100,0
Flat100,none,underdog,30,3014,1441,48,57102,2888,100,0
Flat100,none,underdog,35,2792,1351,48,57722,2052,100,0
Flat100,none,underdog,40,2554,1244,49,54774,2024,100,0
Flat100,none,underdog,45,2316,1152,50,55933,1555,100,0
Flat100,none,underdog,50,2107,1073,51,57167,1769,100,0
Flat100,none,underdog,75,1207,654,54,42665,1021,100,0
Flat100,none,underdog,100,642,368,57,28460,916,100,0
Flat100,none,underdog,125,339,204,60,18382,655,100,0
Flat100,none,underdog,150,160,93,58,9250,852,100,0
Flat100,none,favorite,5,4930,3513,71,27494,2398,100,0
Flat100,none,favorite,10,4648,3330,72,28353,2504,100,0
Flat100,none,favorite,15,4378,3159,72,30212,2396,100,0
Flat100,none,favorite,20,4105,2989,73,32111,2351,100,0
Flat100,none,favorite,25,3877,2829,73,31389,2054,100,0
Flat100,none,favorite,30,3587,2650,74,33460,1601,100,0
Flat100,none,favorite,35,3336,2485,74,34331,1085,100,0
Flat100,none,favorite,40,3066,2300,75,33633,1142,100,0
Flat100,none,favorite,45,2820,2128,75,32889,1176,100,0
Flat100,none,favorite,50,2577,1959,76,31778,1323,100,0
Flat100,none,favorite,75,1557,1220,78,24002,841,100,0
Flat100,none,favorite,100,872,715,82,18185,653,100,0
Flat100,none,favorite,125,421,358,85,10746,335,100,0
Flat100,none,favorite,150,201,173,86,6171,232,100,0
Flat100,4+4-,any,5,1457,883,61,19638,1318,100,0
Flat100,4+4-,any,10,1449,881,61,20085,1318,100,0
Flat100,4+4-,any,15,1441,880,61,20586,1318,100,0
Flat100,4+4-,any,20,1425,868,61,19889,1318,100,0
Flat100,4+4-,any,25,1409,860,61,20145,1318,100,0
Flat100,4+4-,any,30,1381,844,61,20416,1318,100,0
Flat100,4+4-,any,35,1334,818,61,20399,1218,100,0
Flat100,4+4-,any,40,1268,788,62,20975,1264,100,0
Flat100,4+4-,any,45,1196,745,62,20972,1430,100,0
Flat100,4+4-,any,50,1127,702,62,20153,1452,100,0
Flat100,4+4-,any,75,659,431,65,16103,1040,100,0
Flat100,4+4-,any,100,258,175,68,7264,763,100,0
Flat100,4+4-,any,125,86,64,74,4829,462,100,0
Flat100,4+4-,any,150,23,20,87,2502,208,100,0
Flat100,4+4-,underdog,5,635,310,49,15544,1297,100,0
Flat100,4+4-,underdog,10,629,309,49,15946,1297,100,0
Flat100,4+4-,underdog,15,624,308,49,16147,1297,100,0
Flat100,4+4-,underdog,20,615,303,49,15795,1297,100,0
Flat100,4+4-,underdog,25,607,300,49,16008,1297,100,0
Flat100,4+4-,underdog,30,596,298,50,16720,1097,100,0
Flat100,4+4-,underdog,35,573,288,50,16591,1097,100,0
Flat100,4+4-,underdog,40,539,275,51,16644,1110,100,0
Flat100,4+4-,underdog,45,517,267,52,17047,1097,100,0
Flat100,4+4-,underdog,50,492,254,52,16334,1047,100,0
Flat100,4+4-,underdog,75,286,154,54,11815,1081,100,0
Flat100,4+4-,underdog,100,105,54,51,4595,852,100,0
Flat100,4+4-,underdog,125,43,24,56,3285,500,100,0
Flat100,4+4-,underdog,150,8,5,62,1711,300,100,0
Flat100,4+4-,favorite,5,737,529,72,5383,1016,100,0
Flat100,4+4-,favorite,10,735,528,72,5428,1016,100,0
Flat100,4+4-,favorite,15,732,528,72,5728,816,100,0
Flat100,4+4-,favorite,20,725,521,72,5383,916,100,0
Flat100,4+4-,favorite,25,718,517,72,5513,874,100,0
Flat100,4+4-,favorite,30,701,503,72,5072,995,100,0
Flat100,4+4-,favorite,35,677,487,72,5184,821,100,0
Flat100,4+4-,favorite,40,649,471,73,5494,768,100,0
Flat100,4+4-,favorite,45,605,438,72,4860,733,100,0
Flat100,4+4-,favorite,50,566,411,73,4813,818,100,0
Flat100,4+4-,favorite,75,331,251,76,4637,484,100,0
Flat100,4+4-,favorite,100,138,111,80,3304,438,100,0
Flat100,4+4-,favorite,125,40,37,92,2284,100,100,0
Flat100,4+4-,favorite,150,13,13,100,1618,0,100,0
Flat100,5+5-,any,5,538,371,69,14656,912,100,0
Flat100,5+5-,any,10,538,371,69,14656,912,100,0
Flat100,5+5-,any,15,538,371,69,14656,912,100,0
Flat100,5+5-,any,20,538,371,69,14656,912,100,0
Flat100,5+5-,any,25,538,371,69,14656,912,100,0
Flat100,5+5-,any,30,538,371,69,14656,912,100,0
Flat100,5+5-,any,35,538,371,69,14656,912,100,0
Flat100,5+5-,any,40,537,370,69,14626,912,100,0
Flat100,5+5-,any,45,537,370,69,14626,912,100,0
Flat100,5+5-,any,50,536,370,69,14726,912,100,0
Flat100,5+5-,any,75,510,353,69,13889,912,100,0
Flat100,5+5-,any,100,435,306,70,13372,1050,100,0
Flat100,5+5-,any,125,303,209,69,8945,606,100,0
Flat100,5+5-,any,150,185,130,70,7348,503,100,0
Flat100,5+5-,underdog,5,222,120,54,8924,705,100,0
Flat100,5+5-,underdog,10,222,120,54,8924,705,100,0
Flat100,5+5-,underdog,15,222,120,54,8924,705,100,0
Flat100,5+5-,underdog,20,222,120,54,8924,705,100,0
Flat100,5+5-,underdog,25,222,120,54,8924,705,100,0
Flat100,5+5-,underdog,30,222,120,54,8924,705,100,0
Flat100,5+5-,underdog,35,222,120,54,8924,705,100,0
Flat100,5+5-,underdog,40,222,120,54,8924,705,100,0
Flat100,5+5-,underdog,45,222,120,54,8924,705,100,0
Flat100,5+5-,underdog,50,222,120,54,8924,705,100,0
Flat100,5+5-,underdog,75,214,114,53,7974,705,100,0
Flat100,5+5-,underdog,100,182,99,54,7920,754,100,0
Flat100,5+5-,underdog,125,126,66,52,5530,500,100,0
Flat100,5+5-,underdog,150,81,42,52,4471,500,100,0
Flat100,5+5-,favorite,5,279,225,81,5578,476,100,0
Flat100,5+5-,favorite,10,279,225,81,5578,476,100,0
Flat100,5+5-,favorite,15,279,225,81,5578,476,100,0
Flat100,5+5-,favorite,20,279,225,81,5578,476,100,0
Flat100,5+5-,favorite,25,279,225,81,5578,476,100,0
Flat100,5+5-,favorite,30,279,225,81,5578,476,100,0
Flat100,5+5-,favorite,35,279,225,81,5578,476,100,0
Flat100,5+5-,favorite,40,278,224,81,5548,476,100,0
Flat100,5+5-,favorite,45,278,224,81,5548,476,100,0
Flat100,5+5-,favorite,50,277,224,81,5648,476,100,0
Flat100,5+5-,favorite,75,262,216,82,6020,476,100,0
Flat100,5+5-,favorite,100,223,187,84,5718,506,100,0
Flat100,5+5-,favorite,125,156,129,83,3901,272,100,0
Flat100,5+5-,favorite,150,91,79,87,3496,280,100,0
Flat50,none,any,5,9858,5831,59,45120,3088,50,0
Flat50,none,any,10,9242,5508,60,45108,3200,50,0
Flat50,none,any,15,8651,5201,60,46020,2831,50,0
Flat50,none,any,20,8095,4913,61,46968,1780,50,0
Flat50,none,any,25,7584,4637,61,47086,1635,50,0
Flat50,none,any,30,7007,4327,62,47013,1152,50,0
Flat50,none,any,35,6506,4060,62,48038,1063,50,0
Flat50,none,any,40,5972,3751,63,45928,1122,50,0
