strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,39,18,46,0,1082,100,0
Flat100,none,any,10,21,6,29,0,1033,100,0
Flat100,none,any,15,23,11,48,543,681,100,0
Flat100,none,any,20,15,9,60,985,308,100,0
Flat100,none,any,25,7,5,71,1180,100,100,0
Flat100,none,any,30,3,3,100,1252,0,100,0
Flat100,none,any,35,0,0,0,1000,0,0,0
Flat100,none,any,40,0,0,0,1000,0,0,0
Flat100,none,any,45,0,0,0,1000,0,0,0
Flat100,none,any,50,0,0,0,1000,0,0,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,any,100,0,0,0,1000,0,0,0
Flat100,none,any,125,0,0,0,1000,0,0,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,underdog,5,25,7,28,0,1000,100,0
Flat100,none,underdog,10,17,4,24,101,902,100,0
Flat100,none,underdog,15,9,3,33,695,410,100,0
Flat100,none,underdog,20,6,2,33,810,310,100,0
Flat100,none,underdog,25,3,2,67,1110,100,100,0
Flat100,none,underdog,30,2,2,100,1210,0,100,0
Flat100,none,underdog,35,0,0,0,1000,0,0,0
Flat100,none,underdog,40,0,0,0,1000,0,0,0
Flat100,none,underdog,45,0,0,0,1000,0,0,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,underdog,100,0,0,0,1000,0,0,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,favorite,5,36,23,64,822,579,100,0
Flat100,none,favorite,10,20,11,55,704,474,100,0
Flat100,none,favorite,15,14,8,57,848,384,100,0
Flat100,none,favorite,20,9,7,78,1175,126,100,0
Flat100,none,favorite,25,4,3,75,1070,100,100,0
Flat100,none,favorite,30,1,1,100,1042,0,100,0
Flat100,none,favorite,35,0,0,0,1000,0,0,0
Flat100,none,favorite,40,0,0,0,1000,0,0,0
Flat100,none,favorite,45,0,0,0,1000,0,0,0
Flat100,none,favorite,50,0,0,0,1000,0,0,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,none,favorite,100,0,0,0,1000,0,0,0
Flat100,none,favorite,125,0,0,0,1000,0,0,0
Flat100,none,favorite,150,0,0,0,1000,0,0,0
Flat50,none,any,5,61,30,49,404,680,50,0
Flat50,none,any,10,37,15,41,404,665,50,0
Flat50,none,any,15,23,11,48,772,340,50,0
Flat50,none,any,20,15,9,60,992,154,50,0
Flat50,none,any,25,7,5,71,1090,50,50,0
Flat50,none,any,30,3,3,100,1126,0,50,0
Flat50,none,any,35,0,0,0,1000,0,0,0
Flat50,none,any,40,0,0,0,1000,0,0,0
Flat50,none,any,45,0,0,0,1000,0,0,0
Flat50,none,any,50,0,0,0,1000,0,0,0
Flat50,none,any,75,0,0,0,1000,0,0,0
Flat50,none,any,100,0,0,0,1000,0,0,0
Flat50,none,any,125,0,0,0,1000,0,0,0
Flat50,none,any,150,0,0,0,1000,0,0,0
Flat50,none,underdog,5,25,7,28,492,508,50,0
Flat50,none,underdog,10,17,4,24,552,451,50,0
Flat50,none,underdog,15,9,3,33,848,205,50,0
Flat50,none,underdog,20,6,2,33,905,155,50,0
Flat50,none,underdog,25,3,2,67,1055,50,50,0
Flat50,none,underdog,30,2,2,100,1105,0,50,0
Flat50,none,underdog,35,0,0,0,1000,0,0,0
Flat50,none,underdog,40,0,0,0,1000,0,0,0
Flat50,none,underdog,45,0,0,0,1000,0,0,0
Flat50,none,underdog,50,0,0,0,1000,0,0,0
Flat50,none,underdog,75,0,0,0,1000,0,0,0
Flat50,none,underdog,100,0,0,0,1000,0,0,0
Flat50,none,underdog,125,0,0,0,1000,0,0,0
Flat50,none,underdog,150,0,0,0,1000,0,0,0
Flat50,none,favorite,5,36,23,64,911,290,50,0
Flat50,none,favorite,10,20,11,55,852,237,50,0
Flat50,none,favorite,15,14,8,57,924,192,50,0
Flat50,none,favorite,20,9,7,78,1088,63,50,0
Flat50,none,favorite,25,4,3,75,1035,50,50,0
Flat50,none,favorite,30,1,1,100,1021,0,50,0
Flat50,none,favorite,35,0,0,0,1000,0,0,0
Flat50,none,favorite,40,0,0,0,1000,0,0,0
Flat50,none,favorite,45,0,0,0,1000,0,0,0
Flat50,none,favorite,50,0,0,0,1000,0,0,0
Flat50,none,favorite,75,0,0,0,1000,0,0,0
Flat50,none,favorite,100,0,0,0,1000,0,0,0
Flat50,none,favorite,125,0,0,0,1000,0,0,0
Flat50,none,favorite,150,0,0,0,1000,0,0,0
Pct5,none,any,5,61,30,49,519,540,52,0
Pct5,none,any,10,37,15,41,530,512,51,0
Pct5,none,any,15,23,11,48,778,301,50,0
Pct5,none,any,20,15,9,60,980,151,50,0
Pct5,none,any,25,7,5,71,1087,53,53,0
Pct5,none,any,30,3,3,100,1131,0,53,0
Pct5,none,any,35,0,0,0,1000,0,0,0
Pct5,none,any,40,0,0,0,1000,0,0,0
Pct5,none,any,45,0,0,0,1000,0,0,0
Pct5,none,any,50,0,0,0,1000,0,0,0
Pct5,none,any,75,0,0,0,1000,0,0,0
Pct5,none,any,100,0,0,0,1000,0,0,0
Pct5,none,any,125,0,0,0,1000,0,0,0
Pct5,none,any,150,0,0,0,1000,0,0,0
Pct5,none,underdog,5,25,7,28,582,418,50,0
Pct5,none,underdog,10,17,4,24,625,375,50,0
Pct5,none,underdog,15,9,3,33,849,191,50,0
Pct5,none,underdog,20,6,2,33,902,149,50,0
Pct5,none,underdog,25,3,2,67,1052,52,52,0
Pct5,none,underdog,30,2,2,100,1108,0,52,0
Pct5,none,underdog,35,0,0,0,1000,0,0,0
Pct5,none,underdog,40,0,0,0,1000,0,0,0
Pct5,none,underdog,45,0,0,0,1000,0,0,0
Pct5,none,underdog,50,0,0,0,1000,0,0,0
Pct5,none,underdog,75,0,0,0,1000,0,0,0
Pct5,none,underdog,100,0,0,0,1000,0,0,0
Pct5,none,underdog,125,0,0,0,1000,0,0,0
Pct5,none,underdog,150,0,0,0,1000,0,0,0
Pct5,none,favorite,5,36,23,64,892,280,53,0
Pct5,none,favorite,10,20,11,55,849,227,52,0
Pct5,none,favorite,15,14,8,57,917,183,51,0
Pct5,none,favorite,20,9,7,78,1086,68,53,0
Pct5,none,favorite,25,4,3,75,1033,53,53,0
Pct5,none,favorite,30,1,1,100,1021,0,50,0
Pct5,none,favorite,35,0,0,0,1000,0,0,0
Pct5,none,favorite,40,0,0,0,1000,0,0,0
Pct5,none,favorite,45,0,0,0,1000,0,0,0
Pct5,none,favorite,50,0,0,0,1000,0,0,0
Pct5,none,favorite,75,0,0,0,1000,0,0,0
Pct5,none,favorite,100,0,0,0,1000,0,0,0
Pct5,none,favorite,125,0,0,0,1000,0,0,0
Pct5,none,favorite,150,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,9,4,44,697,336,100,0
Flat100,4+4-,any,10,8,4,50,797,236,100,0
Flat100,4+4-,any,15,5,3,60,964,110,100,0
Flat100,4+4-,any,20,4,3,75,1064,100,100,0
Flat100,4+4-,any,25,1,1,100,1090,0,100,0
Flat100,4+4-,any,30,1,1,100,1090,0,100,0
Flat100,4+4-,any,35,0,0,0,1000,0,0,0
Flat100,4+4-,any,40,0,0,0,1000,0,0,0
Flat100,4+4-,any,45,0,0,0,1000,0,0,0
Flat100,4+4-,any,50,0,0,0,1000,0,0,0
Flat100,4+4-,any,75,0,0,0,1000,0,0,0
Flat100,4+4-,any,100,0,0,0,1000,0,0,0
Flat100,4+4-,any,125,0,0,0,1000,0,0,0
Flat100,4+4-,any,150,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,5,4,1,25,790,210,100,0
Flat100,4+4-,underdog,10,3,1,33,890,110,100,0
Flat100,4+4-,underdog,15,3,1,33,890,110,100,0
Flat100,4+4-,underdog,20,2,1,50,990,100,100,0
Flat100,4+4-,underdog,25,1,1,100,1090,0,100,0
Flat100,4+4-,underdog,30,1,1,100,1090,0,100,0
Flat100,4+4-,underdog,35,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,40,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,45,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,50,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,75,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,100,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,125,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,150,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,5,5,3,60,907,126,100,0
Flat100,4+4-,favorite,10,5,3,60,907,126,100,0
Flat100,4+4-,favorite,15,2,2,100,1074,0,100,0
Flat100,4+4-,favorite,20,2,2,100,1074,0,100,0
Flat100,4+4-,favorite,25,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,30,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,35,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,40,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,45,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,50,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,75,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,100,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,125,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,150,0,0,0,1000,0,0,0
Flat50,4+4-,any,5,9,4,44,848,168,50,0
Flat50,4+4-,any,10,8,4,50,898,118,50,0
Flat50,4+4-,any,15,5,3,60,982,55,50,0
Flat50,4+4-,any,20,4,3,75,1032,50,50,0
Flat50,4+4-,any,25,1,1,100,1045,0,50,0
Flat50,4+4-,any,30,1,1,100,1045,0,50,0
Flat50,4+4-,any,35,0,0,0,1000,0,0,0
Flat50,4+4-,any,40,0,0,0,1000,0,0,0
Flat50,4+4-,any,45,0,0,0,1000,0,0,0
Flat50,4+4-,any,50,0,0,0,1000,0,0,0
Flat50,4+4-,any,75,0,0,0,1000,0,0,0
Flat50,4+4-,any,100,0,0,0,1000,0,0,0
Flat50,4+4-,any,125,0,0,0,1000,0,0,0
Flat50,4+4-,any,150,0,0,0,1000,0,0,0
Flat50,4+4-,underdog,5,4,1,25,895,105,50,0
Flat50,4+4-,underdog,10,3,1,33,945,55,50,0
Flat50,4+4-,underdog,15,3,1,33,945,55,50,0
Flat50,4+4-,underdog,20,2,1,50,995,50,50,0
Flat50,4+4-,underdog,25,1,1,100,1045,0,50,0
