strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,23,7,30,0,1000,100,0
Flat100,none,any,10,66,29,44,0,1000,100,0
Flat100,none,any,15,42,21,50,968,595,100,0
Flat100,none,any,20,28,13,46,853,312,100,0
Flat100,none,any,25,15,7,47,921,258,100,0
Flat100,none,any,30,6,2,33,857,300,100,0
Flat100,none,any,35,4,2,50,1057,200,100,0
Flat100,none,any,40,0,0,0,1000,0,0,0
Flat100,none,any,45,0,0,0,1000,0,0,0
Flat100,none,any,50,0,0,0,1000,0,0,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,any,100,0,0,0,1000,0,0,0
Flat100,none,any,125,0,0,0,1000,0,0,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,underdog,5,54,23,43,873,667,100,0
Flat100,none,underdog,10,38,15,39,701,480,100,0
Flat100,none,underdog,15,20,9,45,1187,300,100,0
Flat100,none,underdog,20,16,7,44,1094,268,100,0
Flat100,none,underdog,25,9,4,44,1061,200,100,0
Flat100,none,underdog,30,4,2,50,1057,100,100,0
Flat100,none,underdog,35,3,2,67,1157,100,100,0
Flat100,none,underdog,40,0,0,0,1000,0,0,0
Flat100,none,underdog,45,0,0,0,1000,0,0,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,underdog,100,0,0,0,1000,0,0,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,favorite,5,27,12,44,0,1000,100,0
Flat100,none,favorite,10,35,18,51,339,773,100,0
Flat100,none,favorite,15,20,11,55,793,614,100,0
Flat100,none,favorite,20,11,6,55,859,358,100,0
Flat100,none,favorite,25,5,3,60,960,158,100,0
Flat100,none,favorite,30,1,0,0,900,100,100,0
Flat100,none,favorite,35,1,0,0,900,100,100,0
Flat100,none,favorite,40,0,0,0,1000,0,0,0
Flat100,none,favorite,45,0,0,0,1000,0,0,0
Flat100,none,favorite,50,0,0,0,1000,0,0,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,none,favorite,100,0,0,0,1000,0,0,0
Flat100,none,favorite,125,0,0,0,1000,0,0,0
Flat100,none,favorite,150,0,0,0,1000,0,0,0
Flat50,none,any,5,107,51,48,430,776,50,0
Flat50,none,any,10,75,34,45,514,574,50,0
Flat50,none,any,15,42,21,50,984,298,50,0
Flat50,none,any,20,28,13,46,926,156,50,0
Flat50,none,any,25,15,7,47,960,129,50,0
Flat50,none,any,30,6,2,33,928,150,50,0
Flat50,none,any,35,4,2,50,1028,100,50,0
Flat50,none,any,40,0,0,0,1000,0,0,0
Flat50,none,any,45,0,0,0,1000,0,0,0
Flat50,none,any,50,0,0,0,1000,0,0,0
Flat50,none,any,75,0,0,0,1000,0,0,0
Flat50,none,any,100,0,0,0,1000,0,0,0
Flat50,none,any,125,0,0,0,1000,0,0,0
Flat50,none,any,150,0,0,0,1000,0,0,0
Flat50,none,underdog,5,54,23,43,936,334,50,0
Flat50,none,underdog,10,38,15,39,850,240,50,0
Flat50,none,underdog,15,20,9,45,1094,150,50,0
Flat50,none,underdog,20,16,7,44,1047,134,50,0
Flat50,none,underdog,25,9,4,44,1030,100,50,0
Flat50,none,underdog,30,4,2,50,1028,50,50,0
Flat50,none,underdog,35,3,2,67,1078,50,50,0
Flat50,none,underdog,40,0,0,0,1000,0,0,0
Flat50,none,underdog,45,0,0,0,1000,0,0,0
Flat50,none,underdog,50,0,0,0,1000,0,0,0
Flat50,none,underdog,75,0,0,0,1000,0,0,0
Flat50,none,underdog,100,0,0,0,1000,0,0,0
Flat50,none,underdog,125,0,0,0,1000,0,0,0
Flat50,none,underdog,150,0,0,0,1000,0,0,0
Flat50,none,favorite,5,49,27,55,600,494,50,0
Flat50,none,favorite,10,35,18,51,670,386,50,0
Flat50,none,favorite,15,20,11,55,896,307,50,0
Flat50,none,favorite,20,11,6,55,930,179,50,0
Flat50,none,favorite,25,5,3,60,980,79,50,0
Flat50,none,favorite,30,1,0,0,950,50,50,0
Flat50,none,favorite,35,1,0,0,950,50,50,0
Flat50,none,favorite,40,0,0,0,1000,0,0,0
Flat50,none,favorite,45,0,0,0,1000,0,0,0
Flat50,none,favorite,50,0,0,0,1000,0,0,0
Flat50,none,favorite,75,0,0,0,1000,0,0,0
Flat50,none,favorite,100,0,0,0,1000,0,0,0
Flat50,none,favorite,125,0,0,0,1000,0,0,0
Flat50,none,favorite,150,0,0,0,1000,0,0,0
Pct5,none,any,5,107,51,48,496,571,50,0
Pct5,none,any,10,75,34,45,560,487,50,0
Pct5,none,any,15,42,21,50,931,284,50,0
