strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,86,50,58,248,1388,100,0
Flat100,none,any,10,84,49,58,299,1288,100,0
Flat100,none,any,15,82,47,57,120,1437,100,0
Flat100,none,any,20,77,45,58,230,1422,100,0
Flat100,none,any,25,74,44,59,412,1240,100,0
Flat100,none,any,30,70,42,60,519,1125,100,0
Flat100,none,any,35,64,39,61,748,900,100,0
Flat100,none,any,40,63,39,62,848,900,100,0
Flat100,none,any,45,59,37,63,996,700,100,0
Flat100,none,any,50,56,37,66,1296,691,100,0
Flat100,none,any,75,39,24,62,987,762,100,0
Flat100,none,any,100,29,17,59,807,638,100,0
Flat100,none,any,125,15,11,73,1268,227,100,0
Flat100,none,any,150,11,8,73,1164,200,100,0
Flat100,none,underdog,5,24,10,42,879,566,100,0
Flat100,none,underdog,10,24,10,42,879,566,100,0
Flat100,none,underdog,15,23,9,39,783,566,100,0
Flat100,none,underdog,20,21,8,38,698,651,100,0
Flat100,none,underdog,25,20,8,40,798,551,100,0
Flat100,none,underdog,30,18,7,39,813,580,100,0
Flat100,none,underdog,35,17,7,41,913,580,100,0
Flat100,none,underdog,40,17,7,41,913,580,100,0
Flat100,none,underdog,45,16,7,44,1013,480,100,0
Flat100,none,underdog,50,15,7,47,1113,480,100,0
Flat100,none,underdog,75,11,5,45,1073,400,100,0
Flat100,none,underdog,100,10,4,40,852,400,100,0
Flat100,none,underdog,125,5,3,60,1152,200,100,0
Flat100,none,underdog,150,4,2,50,1031,200,100,0
Flat100,none,favorite,5,61,40,66,469,1090,100,0
Flat100,none,favorite,10,59,39,66,520,990,100,0
Flat100,none,favorite,15,58,38,66,454,990,100,0
Flat100,none,favorite,20,55,37,67,632,890,100,0
Flat100,none,favorite,25,53,36,68,714,808,100,0
Flat100,none,favorite,30,51,35,69,806,760,100,0
Flat100,none,favorite,35,46,32,70,935,631,100,0
Flat100,none,favorite,40,45,32,71,1035,579,100,0
Flat100,none,favorite,45,42,30,71,1083,479,100,0
Flat100,none,favorite,50,40,30,75,1283,414,100,0
Flat100,none,favorite,75,27,19,70,1014,478,100,0
Flat100,none,favorite,100,19,13,68,955,330,100,0
Flat100,none,favorite,125,10,8,80,1116,100,100,0
Flat100,none,favorite,150,7,6,86,1133,100,100,0
Flat50,none,any,5,86,50,58,624,694,50,0
Flat50,none,any,10,84,49,58,650,644,50,0
Flat50,none,any,15,82,47,57,568,718,50,0
Flat50,none,any,20,77,45,58,615,711,50,0
Flat50,none,any,25,74,44,59,706,620,50,0
Flat50,none,any,30,70,42,60,760,562,50,0
Flat50,none,any,35,64,39,61,874,450,50,0
Flat50,none,any,40,63,39,62,924,450,50,0
Flat50,none,any,45,59,37,63,998,350,50,0
Flat50,none,any,50,56,37,66,1148,346,50,0
Flat50,none,any,75,39,24,62,994,381,50,0
Flat50,none,any,100,29,17,59,904,319,50,0
Flat50,none,any,125,15,11,73,1134,114,50,0
Flat50,none,any,150,11,8,73,1082,100,50,0
Flat50,none,underdog,5,24,10,42,940,283,50,0
Flat50,none,underdog,10,24,10,42,940,283,50,0
Flat50,none,underdog,15,23,9,39,892,283,50,0
Flat50,none,underdog,20,21,8,38,849,326,50,0
Flat50,none,underdog,25,20,8,40,899,276,50,0
Flat50,none,underdog,30,18,7,39,906,290,50,0
Flat50,none,underdog,35,17,7,41,956,290,50,0
Flat50,none,underdog,40,17,7,41,956,290,50,0
Flat50,none,underdog,45,16,7,44,1006,240,50,0
Flat50,none,underdog,50,15,7,47,1056,240,50,0
Flat50,none,underdog,75,11,5,45,1036,200,50,0
Flat50,none,underdog,100,10,4,40,926,200,50,0
Flat50,none,underdog,125,5,3,60,1076,100,50,0
Flat50,none,underdog,150,4,2,50,1016,100,50,0
Flat50,none,favorite,5,61,40,66,734,545,50,0
Flat50,none,favorite,10,59,39,66,760,495,50,0
Flat50,none,favorite,15,58,38,66,727,495,50,0
Flat50,none,favorite,20,55,37,67,816,445,50,0
Flat50,none,favorite,25,53,36,68,857,404,50,0
Flat50,none,favorite,30,51,35,69,903,380,50,0
Flat50,none,favorite,35,46,32,70,968,316,50,0
Flat50,none,favorite,40,45,32,71,1018,290,50,0
Flat50,none,favorite,45,42,30,71,1042,240,50,0
Flat50,none,favorite,50,40,30,75,1142,207,50,0
Flat50,none,favorite,75,27,19,70,1007,239,50,0
Flat50,none,favorite,100,19,13,68,978,165,50,0
Flat50,none,favorite,125,10,8,80,1058,50,50,0
Flat50,none,favorite,150,7,6,86,1066,50,50,0
Pct5,none,any,5,86,50,58,635,700,66,0
Pct5,none,any,10,84,49,58,653,651,64,0
Pct5,none,any,15,82,47,57,603,694,64,0
Pct5,none,any,20,77,45,58,637,714,67,0
Pct5,none,any,25,74,44,59,699,654,67,0
Pct5,none,any,30,70,42,60,740,609,66,0
