strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,136,84,62,2958,631,100,0
Flat100,none,any,10,129,82,64,3308,631,100,0
Flat100,none,any,15,121,78,64,3236,532,100,0
Flat100,none,any,20,114,74,65,3204,532,100,0
Flat100,none,any,25,108,71,66,3349,532,100,0
Flat100,none,any,30,101,65,64,2869,532,100,0
Flat100,none,any,35,95,62,65,2901,532,100,0
Flat100,none,any,40,89,57,64,2548,532,100,0
Flat100,none,any,45,85,55,65,2592,532,100,0
Flat100,none,any,50,80,54,68,2910,432,100,0
Flat100,none,any,75,53,37,70,2974,231,100,0
Flat100,none,any,100,36,26,72,2576,200,100,0
Flat100,none,any,125,22,19,86,2687,113,100,0
Flat100,none,any,150,9,9,100,1692,0,100,0
Flat100,none,underdog,5,63,33,52,2434,500,100,0
Flat100,none,underdog,10,57,32,56,2819,500,100,0
Flat100,none,underdog,15,50,29,58,2805,400,100,0
Flat100,none,underdog,20,48,28,58,2795,400,100,0
Flat100,none,underdog,25,46,28,61,2995,400,100,0
Flat100,none,underdog,30,43,25,58,2601,400,100,0
Flat100,none,underdog,35,39,24,62,2776,300,100,0
Flat100,none,underdog,40,36,21,58,2431,300,100,0
Flat100,none,underdog,45,34,20,59,2430,300,100,0
Flat100,none,underdog,50,31,20,65,2730,300,100,0
Flat100,none,underdog,75,25,19,76,3095,200,100,0
Flat100,none,underdog,100,18,13,72,2456,200,100,0
Flat100,none,underdog,125,12,10,83,2389,100,100,0
Flat100,none,underdog,150,3,3,100,1436,0,100,0
Flat100,none,favorite,5,67,47,70,1370,400,100,0
Flat100,none,favorite,10,66,46,70,1335,400,100,0
Flat100,none,favorite,15,65,45,69,1277,400,100,0
Flat100,none,favorite,20,61,43,70,1345,300,100,0
Flat100,none,favorite,25,57,40,70,1290,302,100,0
Flat100,none,favorite,30,53,37,70,1204,320,100,0
Flat100,none,favorite,35,52,36,69,1151,320,100,0
Flat100,none,favorite,40,49,34,69,1143,320,100,0
Flat100,none,favorite,45,47,33,70,1188,312,100,0
Flat100,none,favorite,50,45,32,71,1206,220,100,0
Flat100,none,favorite,75,24,16,67,905,349,100,0
Flat100,none,favorite,100,16,12,75,1133,132,100,0
Flat100,none,favorite,125,9,8,89,1211,100,100,0
Flat100,none,favorite,150,5,5,100,1169,0,100,0
Flat100,4+4-,any,5,18,10,56,1261,300,100,0
Flat100,4+4-,any,10,18,10,56,1261,300,100,0
Flat100,4+4-,any,15,18,10,56,1261,300,100,0
Flat100,4+4-,any,20,18,10,56,1261,300,100,0
Flat100,4+4-,any,25,18,10,56,1261,300,100,0
Flat100,4+4-,any,30,18,10,56,1261,300,100,0
Flat100,4+4-,any,35,18,10,56,1261,300,100,0
Flat100,4+4-,any,40,18,10,56,1261,300,100,0
Flat100,4+4-,any,45,17,10,59,1361,200,100,0
Flat100,4+4-,any,50,17,10,59,1361,200,100,0
Flat100,4+4-,any,75,16,10,62,1461,200,100,0
Flat100,4+4-,any,100,9,6,67,1384,100,100,0
Flat100,4+4-,any,125,5,5,100,1644,0,100,0
Flat100,4+4-,any,150,2,2,100,1125,0,100,0
Flat100,4+4-,underdog,5,9,5,56,1449,200,100,0
Flat100,4+4-,underdog,10,9,5,56,1449,200,100,0
Flat100,4+4-,underdog,15,9,5,56,1449,200,100,0
Flat100,4+4-,underdog,20,9,5,56,1449,200,100,0
Flat100,4+4-,underdog,25,9,5,56,1449,200,100,0
