strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,25688,15982,62,338126,10279,100,0
Flat100,none,underdog,5,11059,5353,48,218064,8370,100,0
Flat100,none,favorite,5,13663,10079,74,115068,3587,100,0
Flat100,4+4-,any,5,3904,2562,66,78922,3379,100,0
Flat100,4+4-,underdog,5,1658,865,52,50614,1728,100,0
Flat100,4+4-,favorite,5,2114,1613,76,26836,2226,100,0
Flat100,5+5-,any,5,1278,975,76,44537,557,100,0
Flat100,5+5-,underdog,5,462,291,63,25877,728,100,0
Flat100,5+5-,favorite,5,776,654,84,18063,376,100,0
Flat100,none,any,10,24551,15402,63,346595,9439,100,0
Flat100,none,underdog,10,10542,5162,49,222935,8040,100,0
Flat100,none,favorite,10,13086,9713,74,118657,3223,100,0
Flat100,4+4-,any,10,3896,2559,66,78903,3379,100,0
Flat100,4+4-,underdog,10,1651,863,52,50676,1728,100,0
Flat100,4+4-,favorite,10,2113,1612,76,26755,2226,100,0
Flat100,5+5-,any,10,1278,975,76,44537,557,100,0
Flat100,5+5-,underdog,10,462,291,63,25877,728,100,0
Flat100,5+5-,favorite,10,776,654,84,18063,376,100,0
Flat100,none,any,15,23401,14802,63,352666,8605,100,0
Flat100,none,underdog,15,10006,4960,50,227470,6864,100,0
Flat100,none,favorite,15,12518,9340,75,120268,3141,100,0
Flat100,4+4-,any,15,3883,2555,66,79550,3379,100,0
Flat100,4+4-,underdog,15,1647,862,52,50871,1728,100,0
Flat100,4+4-,favorite,15,2104,1609,76,27207,2226,100,0
Flat100,5+5-,any,15,1278,975,76,44537,557,100,0
Flat100,5+5-,underdog,15,462,291,63,25877,728,100,0
Flat100,5+5-,favorite,15,776,654,84,18063,376,100,0
Flat100,none,any,20,22177,14159,64,356253,8300,100,0
Flat100,none,underdog,20,9424,4733,50,229473,6352,100,0
Flat100,none,favorite,20,11917,8942,75,121114,3441,100,0
Flat100,4+4-,any,20,3864,2543,66,78953,3379,100,0
Flat100,4+4-,underdog,20,1634,856,52,50576,1728,100,0
Flat100,4+4-,favorite,20,2098,1603,76,26905,2226,100,0
Flat100,5+5-,any,20,1278,975,76,44537,557,100,0
