strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,8001,4342,54,90,10439,100,
Flat100,none,any,10,13018,7121,55,13744,12757,100,
Flat100,none,any,15,60,27,45,3,1203,100,
Flat100,none,any,20,4766,2682,56,21193,6656,100,
Flat100,none,any,25,2620,1504,57,16864,4035,100,
Flat100,none,any,30,1446,854,59,14270,1922,100,
Flat100,none,any,35,767,441,57,6344,1443,100,
Flat100,none,any,40,418,239,57,3157,1576,100,
Flat100,none,any,45,240,131,55,1260,2245,100,
Flat100,none,any,50,141,81,57,1616,1106,100,
Flat100,none,underdog,5,201,79,39,91,2669,100,
Flat100,none,underdog,10,6090,2506,41,12623,11962,100,
Flat100,none,underdog,15,3785,1604,42,19180,6149,100,
Flat100,none,underdog,20,2222,956,43,16039,3927,100,
Flat100,none,underdog,25,1206,533,44,11752,3025,100,
Flat100,none,underdog,30,654,301,46,10118,1898,100,
Flat100,none,underdog,35,353,157,44,4691,1582,100,
Flat100,none,underdog,40,185,75,41,1380,1691,100,
Flat100,none,underdog,45,106,39,37,632,1795,100,
Flat100,none,underdog,50,55,21,38,1153,773,100,
Flat100,none,favorite,5,69,39,57,96,1077,100,
Flat100,none,favorite,10,6048,4077,67,46,7830,100,
Flat100,none,favorite,15,4030,2760,68,6642,5691,100,
Flat100,none,favorite,20,2369,1630,69,5753,3720,100,
Flat100,none,favorite,25,1326,919,69,5201,2118,100,
Flat100,none,favorite,30,744,523,70,4356,1415,100,
Flat100,none,favorite,35,390,267,68,1876,1036,100,
Flat100,none,favorite,40,215,151,70,2147,869,100,
Flat100,none,favorite,45,122,82,67,959,818,100,
Flat100,none,favorite,50,79,55,70,1228,598,100,
Pct5,none,any,5,19436,10443,54,0,2611,131,
Pct5,none,any,10,13018,7121,55,0,104447,5222,
Pct5,none,any,15,8126,4531,56,3855,1012890,50712,
Pct5,none,any,20,4766,2682,56,45637,640036,32471,
Pct5,none,any,25,2620,1504,57,95733,355775,19409,
Pct5,none,any,30,1446,854,59,116893,106341,7990,
Pct5,none,any,35,767,441,57,5244,3848,342,
